validationTargetName;validationTargetPosition;fixationPoints
Middle;(-0.38, 1.93);[(-0.43, 2.12),(-0.43, 2.12),(-0.43, 2.12),(-0.43, 2.12),(-0.43, 2.12),(-0.43, 2.12),(-0.43, 2.12),(-0.43, 2.12),(-0.43, 2.12),(-0.43, 2.12),(-0.43, 2.12),(-0.42, 2.08),(-0.41, 2.04),(-0.40, 2.03),(-0.40, 2.01),(-0.40, 2.01),(-0.39, 2.01),(-0.39, 2.01),(-0.39, 2.01),(-0.39, 2.00),(-0.39, 2.00),(-0.39, 2.00),(-0.39, 1.99),(-0.38, 1.98),(-0.38, 1.97),(-0.38, 1.97),(-0.37, 1.97),(-0.37, 1.96),(-0.37, 1.96),(-0.37, 1.96),(-0.37, 1.96),(-0.37, 1.96),(-0.37, 1.96),(-0.37, 1.96),(-0.37, 1.96),(-0.37, 1.96),(-0.37, 1.96),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.96),(-0.37, 1.96),(-0.37, 1.96),(-0.37, 1.96),(-0.37, 1.96),(-0.37, 1.96),(-0.37, 1.96),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.96),(-0.37, 1.96),(-0.37, 1.96),(-0.37, 1.96),(-0.37, 1.96),(-0.37, 1.96),(-0.37, 1.96),(-0.37, 1.96),(-0.37, 1.96),(-0.37, 1.96),(-0.37, 1.96),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.38, 1.95),(-0.38, 1.95),(-0.38, 1.95),(-0.38, 1.95),(-0.38, 1.95),(-0.38, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.95),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.95),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94),(-0.37, 1.94)]
TopRight;(0.03, 2.24);[(-0.01, 2.23),(-0.01, 2.23),(-0.01, 2.24),(-0.01, 2.24),(-0.01, 2.24),(-0.01, 2.24),(-0.01, 2.24),(-0.01, 2.23),(-0.01, 2.23),(-0.01, 2.23),(0.00, 2.24),(0.01, 2.25),(0.02, 2.25),(0.02, 2.25),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.27),(0.03, 2.27),(0.03, 2.27),(0.03, 2.27),(0.03, 2.27),(0.03, 2.27),(0.03, 2.27),(0.03, 2.27),(0.03, 2.27),(0.03, 2.27),(0.04, 2.27),(0.04, 2.27),(0.04, 2.27),(0.04, 2.27),(0.04, 2.27),(0.04, 2.27),(0.04, 2.27),(0.04, 2.27),(0.04, 2.27),(0.04, 2.27),(0.04, 2.27),(0.03, 2.27),(0.03, 2.27),(0.03, 2.27),(0.03, 2.27),(0.03, 2.27),(0.03, 2.27),(0.03, 2.27),(0.03, 2.27),(0.03, 2.27),(0.03, 2.27),(0.03, 2.27),(0.03, 2.27),(0.04, 2.27),(0.04, 2.27),(0.04, 2.27),(0.04, 2.27),(0.04, 2.27),(0.04, 2.27),(0.04, 2.27),(0.04, 2.27),(0.04, 2.27),(0.04, 2.27),(0.04, 2.26),(0.04, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.02, 2.26),(0.02, 2.26),(0.02, 2.26),(0.02, 2.26),(0.02, 2.26),(0.02, 2.26),(0.02, 2.26),(0.02, 2.26),(0.02, 2.26),(0.02, 2.26),(0.03, 2.26),(0.03, 2.26),(0.02, 2.26),(0.02, 2.26),(0.02, 2.26),(0.02, 2.26),(0.02, 2.26),(0.02, 2.26),(0.02, 2.26),(0.02, 2.26),(0.02, 2.26),(0.02, 2.26),(0.02, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.26),(0.03, 2.25),(0.02, 2.25),(0.02, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.02, 2.25),(0.02, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.03, 2.25),(0.02, 2.25),(0.02, 2.25),(0.02, 2.26),(0.02, 2.26),(0.02, 2.26),(0.02, 2.26),(0.02, 2.26),(0.02, 2.26),(0.02, 2.26),(0.02, 2.26),(0.02, 2.25),(0.02, 2.25),(0.02, 2.25),(0.02, 2.25),(0.02, 2.25),(0.02, 2.25),(0.02, 2.25),(0.02, 2.25),(0.02, 2.25),(0.02, 2.25),(0.02, 2.25),(0.02, 2.25)]
BotRight;(-0.15, 1.66);[(-0.10, 1.71),(-0.11, 1.69),(-0.12, 1.68),(-0.12, 1.68),(-0.13, 1.67),(-0.13, 1.67),(-0.13, 1.67),(-0.13, 1.67),(-0.13, 1.67),(-0.13, 1.67),(-0.13, 1.66),(-0.13, 1.66),(-0.13, 1.67),(-0.14, 1.67),(-0.14, 1.67),(-0.14, 1.67),(-0.14, 1.67),(-0.14, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.16, 1.68),(-0.16, 1.68),(-0.16, 1.68),(-0.16, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.69),(-0.15, 1.69),(-0.15, 1.69),(-0.15, 1.69),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.67),(-0.15, 1.67),(-0.15, 1.67),(-0.15, 1.67),(-0.15, 1.67),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.68),(-0.15, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.15, 1.67),(-0.15, 1.67),(-0.15, 1.67),(-0.15, 1.67),(-0.15, 1.67),(-0.15, 1.67),(-0.15, 1.67),(-0.15, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.15, 1.67),(-0.15, 1.67),(-0.15, 1.67),(-0.15, 1.67),(-0.15, 1.67),(-0.15, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.66),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.67),(-0.16, 1.66),(-0.16, 1.66),(-0.16, 1.66),(-0.16, 1.66),(-0.16, 1.66),(-0.16, 1.66),(-0.16, 1.66),(-0.16, 1.66),(-0.16, 1.66),(-0.16, 1.66),(-0.16, 1.66),(-0.16, 1.66),(-0.16, 1.66),(-0.16, 1.66),(-0.16, 1.66),(-0.16, 1.66),(-0.16, 1.66),(-0.16, 1.66),(-0.16, 1.66)]
BotLeft;(-0.59, 1.65);[(-0.54, 1.65),(-0.57, 1.65),(-0.57, 1.66),(-0.58, 1.66),(-0.58, 1.66),(-0.58, 1.66),(-0.58, 1.66),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.68),(-0.60, 1.68),(-0.60, 1.68),(-0.60, 1.68),(-0.60, 1.68),(-0.60, 1.68),(-0.60, 1.68),(-0.60, 1.68),(-0.60, 1.68),(-0.59, 1.68),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.67),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.60, 1.68),(-0.60, 1.67),(-0.60, 1.68),(-0.60, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.60, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.68),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.68),(-0.59, 1.67),(-0.59, 1.67),(-0.58, 1.67),(-0.58, 1.67),(-0.58, 1.67),(-0.58, 1.67),(-0.58, 1.67),(-0.58, 1.67),(-0.58, 1.67),(-0.58, 1.67),(-0.58, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.66),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67),(-0.59, 1.67)]
